DT_REFER;CD_CVM;GRUPO_DFP;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.01;Caixa e Equivalentes de Caixa;813234000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;958731000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.03;Contas a Receber;1209127000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;0.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.04;Estoques;0.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;13940000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.01;Imobilizado em Operação;16394000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;8531649000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01;Ativo Circulante;8462174000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;2862490000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.01;Caixa e Equivalentes de Caixa;2234744000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;2998686000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.03;Contas a Receber;3069043000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;54430000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.01.04;Estoques;61993000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;7029688000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.02.03.01;Imobilizado em Operação;6943440000.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-03-31;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;8531649000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01;Ativo Circulante;8565893000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;2862490000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.01;Caixa e Equivalentes de Caixa;2335270000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;2998686000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.03;Contas a Receber;3029496000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;54430000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.04;Estoques;67253000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;7029688000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.01;Imobilizado em Operação;7679931000.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;8531649000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01;Ativo Circulante;9970105000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;2862490000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.01;Caixa e Equivalentes de Caixa;2538780000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;2998686000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.03;Contas a Receber;3085935000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;54430000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01.04;Estoques;80174000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;7029688000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.01;Imobilizado em Operação;7712729000.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;2453;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.02.03.02;Imobilizado Arrendado;0.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2012-12-31;1.01;Ativo Circulante;41869836000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2013-03-31;1.01;Ativo Circulante;40305296000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2012-12-31;1.01.01;Caixa e Equivalentes de Caixa;6010838000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2013-03-31;1.01.01;Caixa e Equivalentes de Caixa;7161214000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2012-12-31;1.01.03;Contas a Receber;4082695000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2013-03-31;1.01.03;Contas a Receber;3741540000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2012-12-31;1.01.04;Estoques;806908000.0
2013-03-31;2437;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2013-03-31;1.01.04;Estoques;889331000.0
