DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-06-30;20257;3.07;;2010-06-30;108402000.0;102530000.0
2011-06-30;20257;3.08;;2010-06-30;-36130000.0;-29784000.0
2011-06-30;20257;3.09;;2010-06-30;72272000.0;72746000.0
2011-06-30;20257;3.11;;2010-06-30;72272000.0;72746000.0
2011-06-30;20257;5.01;;2010-06-30;2207369000.0;2508354000.0
2011-06-30;20257;5.03;;2010-06-30;2207369000.0;2508354000.0
2011-06-30;20257;5.07;;2010-06-30;2348905000.0;2116920000.0
2011-06-30;20257;6.01;;2010-06-30;289545000.0;357190000.0
2011-06-30;20257;6.02;;2010-06-30;-8062000.0;60419000.0
2011-06-30;20257;6.03;;2010-06-30;-81492000.0;-476175000.0
2011-06-30;20257;6.05;;2010-06-30;199991000.0;-58566000.0
2011-06-30;20257;7.01;;2010-06-30;355488000.0;349438000.0
2011-06-30;20257;7.02;;2010-06-30;-24122000.0;-18151000.0
2011-06-30;20257;7.03;;2010-06-30;331366000.0;331287000.0
2011-06-30;20257;7.04.01;;2010-06-30;-7308000.0;-746000.0
2011-06-30;20257;7.05;;2010-06-30;324058000.0;330541000.0
2011-06-30;20257;7.06;;2010-06-30;18466000.0;30930000.0
2011-06-30;20257;7.07;;2010-06-30;342524000.0;361471000.0
2011-06-30;20257;7.08;;2010-06-30;342524000.0;361471000.0
2011-09-30;2453;1.01;2010-12-31;;8085576000.0;9812604000.0
2011-09-30;2453;1.01.01;2010-12-31;;2979693000.0;3851624000.0
2011-09-30;2453;1.01.02;2010-12-31;;321858000.0;89341000.0
2011-09-30;2453;1.01.03;2010-12-31;;3288473000.0;3888041000.0
2011-09-30;2453;1.01.04;2010-12-31;;41080000.0;53114000.0
2011-09-30;2453;1.02.01;2010-12-31;;12438058000.0;12813832000.0
2011-09-30;2453;1.02.02;2010-12-31;;0.0;0.0
